step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.09,6,9.0
20.0,-0.48,10,57.0
25.0,-0.25,7,82.0
30.0,-0.2600000000000001,8,108.0
35.0,0.040000000000000036,6,104.0
40.0,-0.010000000000000009,8,105.0
45.0,0.31000000000000005,2,74.0
50.0,0.33,4,41.0
55.0,-0.26000000000000006,6,67.0
60.0,-0.32999999999999996,7,100.0
65.0,-0.42999999999999994,9,143.0
70.0,-0.55,11,198.0
75.0,0.28,9,170.0
80.0,0.6599999999999999,5,104.0
85.0,-0.3599999999999999,10,140.0
90.0,-0.7400000000000002,15,214.0
95.0,-0.75,15,289.0
100.0,-0.8999999999999999,19,379.0
105.0,-0.9699999999999998,21,476.0
110.0,-1.12,23,588.0
115.0,-0.21999999999999975,18,610.0
120.0,0.45999999999999996,15,564.0
125.0,-0.40000000000000036,17,604.0
130.0,-0.9500000000000002,22,699.0
135.0,-0.6299999999999999,17,762.0
140.0,-0.5599999999999996,17,818.0
145.0,-0.9100000000000001,19,909.0
150.0,0.34999999999999964,17,874.0
155.0,-0.8699999999999992,19,961.0
160.0,1.08,17,853.0
165.0,2.7299999999999995,12,580.0
170.0,3.1999999999999997,6,260.0
175.0,1.2100000000000002,8,139.0
180.0,0.1499999999999999,7,124.0
185.0,-0.1200000000000001,10,136.0
190.0,-0.5899999999999999,13,195.0
195.0,-0.6799999999999999,14,263.0
200.0,-0.7800000000000002,17,341.0
205.0,-0.8599999999999994,18,427.0
210.0,-0.9700000000000006,21,524.0
215.0,-1.0499999999999998,21,629.0
220.0,-1.2000000000000002,25,749.0
225.0,-1.25,25,874.0
230.0,-1.3900000000000006,30,1013.0
235.0,-1.549999999999999,31,1168.0
240.0,-1.6799999999999997,35,1336.0
245.0,-1.75,35,1511.0
250.0,-1.8399999999999999,38,1695.0
255.0,-1.9499999999999993,39,1890.0
260.0,0.04999999999999716,35,1885.0
265.0,1.8300000000000018,27,1702.0
270.0,2.5199999999999996,25,1450.0
275.0,0.3699999999999992,27,1413.0
