step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.05,5,5.0
20.0,-0.33,8,38.0
25.0,-0.24,8,62.0
30.0,-0.4900000000000001,10,111.0
35.0,-0.5399999999999998,12,165.0
40.0,-0.6800000000000002,14,233.0
45.0,-0.10999999999999988,10,244.0
50.0,0.5699999999999998,9,187.0
55.0,-0.5099999999999998,12,238.0
60.0,-0.6600000000000001,14,304.0
65.0,-0.27,12,331.0
70.0,-0.08000000000000007,10,339.0
75.0,-0.5,12,389.0
80.0,0.7800000000000002,6,311.0
85.0,1.8499999999999999,0,126.0
90.0,0.17999999999999994,6,108.0
95.0,-0.43999999999999995,11,152.0
100.0,-0.42999999999999994,13,195.0
105.0,-0.6500000000000001,13,260.0
110.0,-0.7799999999999998,17,338.0
115.0,0.23999999999999977,11,314.0
120.0,0.8500000000000001,8,229.0
125.0,-0.3599999999999999,15,265.0
130.0,-0.8999999999999999,19,355.0
135.0,-0.050000000000000266,16,360.0
140.0,0.6499999999999999,12,295.0
145.0,-0.009999999999999787,14,296.0
150.0,-0.7000000000000002,14,366.0
155.0,0.010000000000000231,11,365.0
160.0,-0.050000000000000266,15,370.0
165.0,-0.6799999999999997,14,438.0
170.0,-0.7700000000000005,16,515.0
175.0,-0.7999999999999998,16,595.0
180.0,-0.8499999999999996,18,680.0
185.0,-0.9000000000000004,18,770.0
190.0,0.8900000000000006,14,681.0
195.0,2.1599999999999993,9,465.0
200.0,2.1200000000000006,8,253.0
205.0,0.8099999999999998,9,172.0
210.0,-0.5900000000000001,15,231.0
215.0,-0.040000000000000036,11,235.0
220.0,0.20999999999999996,11,214.0
225.0,-0.54,14,268.0
230.0,-0.7599999999999998,18,344.0
235.0,-0.18999999999999995,16,363.0
240.0,0.31999999999999984,13,331.0
245.0,-0.1499999999999999,10,346.0
250.0,-0.040000000000000036,13,350.0
255.0,-0.6600000000000001,14,416.0
260.0,-0.8200000000000003,17,498.0
265.0,-0.3099999999999996,16,529.0
270.0,-0.25,16,554.0
275.0,1.0200000000000005,12,452.0
