step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.06,3,6.0
20.0,-0.29,7,35.0
25.0,-0.15000000000000002,5,50.0
30.0,-0.25,6,75.0
35.0,-0.32000000000000006,7,107.0
40.0,-0.47,10,154.0
45.0,0.17999999999999994,4,136.0
50.0,0.2100000000000002,7,115.0
55.0,-0.1100000000000001,8,126.0
60.0,-0.24,8,150.0
65.0,-0.1299999999999999,6,163.0
70.0,-0.13000000000000012,8,176.0
75.0,-0.44000000000000017,10,220.0
80.0,-0.5799999999999996,12,278.0
85.0,-0.6300000000000003,14,341.0
90.0,-0.8599999999999994,18,427.0
95.0,-0.9000000000000004,18,517.0
100.0,-1.08,22,625.0
105.0,-1.0999999999999996,22,735.0
110.0,-1.2699999999999996,26,862.0
115.0,-1.3400000000000016,28,996.0
120.0,0.030000000000001137,23,993.0
125.0,1.8100000000000005,18,812.0
130.0,-0.9100000000000001,20,903.0
135.0,-1.08,25,1011.0
140.0,-1.4000000000000004,28,1151.0
145.0,-1.450000000000001,32,1296.0
150.0,-1.5999999999999996,32,1456.0
155.0,0.20000000000000107,28,1436.0
160.0,2.2299999999999986,24,1213.0
165.0,1.3500000000000014,22,1078.0
170.0,-0.9500000000000011,23,1173.0
175.0,-1.129999999999999,27,1286.0
180.0,-0.6400000000000006,28,1350.0
185.0,0.10999999999999943,22,1339.0
190.0,-0.9499999999999993,22,1434.0
195.0,-1.4100000000000001,30,1575.0
200.0,0.46000000000000085,26,1529.0
205.0,1.9299999999999997,18,1336.0
210.0,2.619999999999999,16,1074.0
215.0,-0.8200000000000003,18,1156.0
220.0,-1.0999999999999996,24,1266.0
225.0,-1.4000000000000004,28,1406.0
230.0,-0.4499999999999993,29,1451.0
235.0,0.049999999999998934,24,1446.0
240.0,-0.5999999999999996,26,1506.0
245.0,-1.299999999999999,26,1636.0
250.0,-1.3399999999999999,28,1770.0
255.0,-1.4000000000000021,28,1910.0
260.0,-1.4899999999999984,30,2059.0
265.0,-1.5,30,2209.0
270.0,-1.7100000000000009,36,2380.0
