step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.04,4,4.0
20.0,-0.39,8,43.0
25.0,-0.22000000000000003,7,65.0
30.0,-0.4700000000000001,10,112.0
35.0,-0.5199999999999998,11,164.0
40.0,-0.6700000000000002,14,231.0
45.0,-0.75,16,306.0
50.0,-0.8399999999999999,18,390.0
55.0,-0.07000000000000028,14,397.0
60.0,0.28000000000000025,12,369.0
65.0,0.6000000000000001,8,309.0
70.0,1.5299999999999998,2,156.0
75.0,0.49,4,107.0
80.0,-0.3999999999999999,10,147.0
85.0,0.1299999999999999,6,134.0
90.0,0.22999999999999998,11,111.0
95.0,-0.43999999999999995,11,155.0
100.0,-0.6300000000000001,13,218.0
105.0,-0.29000000000000004,10,247.0
110.0,-0.48,14,295.0
115.0,0.3600000000000003,8,259.0
120.0,1.0499999999999998,6,154.0
125.0,0.06000000000000005,8,148.0
130.0,-0.5699999999999998,12,205.0
135.0,-0.03000000000000025,8,208.0
140.0,0.09000000000000008,8,199.0
145.0,-0.40000000000000013,8,239.0
150.0,-0.5,10,289.0
155.0,-0.5,10,339.0
160.0,0.29000000000000004,10,310.0
165.0,0.7000000000000002,9,240.0
170.0,-0.0900000000000003,11,249.0
175.0,-0.5499999999999998,11,304.0
180.0,-0.6000000000000001,13,364.0
185.0,-0.08000000000000007,7,372.0
190.0,0.08000000000000007,7,364.0
195.0,0.3200000000000003,6,332.0
200.0,-0.010000000000000231,9,333.0
205.0,-0.25,7,358.0
210.0,-0.3599999999999999,8,394.0
215.0,-0.44999999999999973,9,439.0
220.0,-0.4800000000000004,10,487.0
225.0,-0.5999999999999996,12,547.0
230.0,-0.6699999999999999,16,614.0
235.0,2.1399999999999997,13,400.0
240.0,0.9500000000000002,15,305.0
245.0,-0.3600000000000003,12,341.0
250.0,-0.45999999999999996,14,387.0
255.0,0.54,10,333.0
260.0,1.49,3,184.0
265.0,0.09000000000000008,5,175.0
270.0,-0.45999999999999996,11,221.0
275.0,0.20000000000000018,9,201.0
280.0,0.6999999999999997,6,131.0
