step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.02,1,2.0
20.0,-0.26999999999999996,6,29.0
25.0,-0.11000000000000004,5,40.0
30.0,-0.36,8,76.0
35.0,-0.41999999999999993,10,118.0
40.0,-0.5800000000000001,12,176.0
45.0,-0.6300000000000001,14,239.0
50.0,-0.7199999999999998,15,311.0
55.0,-0.8200000000000003,18,393.0
60.0,0.020000000000000018,13,391.0
65.0,0.6400000000000001,10,327.0
70.0,-0.5899999999999999,14,386.0
75.0,-0.8800000000000003,20,474.0
80.0,-1.0,20,574.0
85.0,-1.0099999999999998,21,675.0
90.0,-1.2000000000000002,25,795.0
95.0,-1.3500000000000005,30,930.0
100.0,0.28000000000000114,24,902.0
105.0,1.7699999999999996,16,725.0
110.0,1.63,16,562.0
115.0,-0.34999999999999964,18,597.0
120.0,-1.0600000000000005,22,703.0
125.0,-0.6099999999999994,21,764.0
130.0,-0.4500000000000002,19,809.0
135.0,-0.870000000000001,21,896.0
140.0,-0.879999999999999,20,984.0
145.0,-1.0600000000000005,22,1090.0
150.0,0.8900000000000006,18,1001.0
155.0,2.6899999999999995,10,732.0
160.0,0.33999999999999986,7,698.0
165.0,-0.5699999999999994,15,755.0
170.0,-0.9500000000000002,22,850.0
175.0,0.4399999999999995,23,806.0
180.0,1.9800000000000004,13,608.0
185.0,-0.03000000000000025,12,611.0
190.0,-0.7599999999999998,18,687.0
195.0,-0.11000000000000032,20,698.0
200.0,0.1200000000000001,23,686.0
205.0,-0.7699999999999996,23,763.0
210.0,0.4299999999999997,19,720.0
215.0,1.7300000000000004,11,547.0
220.0,0.5699999999999994,6,490.0
225.0,-0.2599999999999998,11,516.0
230.0,0.2999999999999998,14,486.0
235.0,0.8000000000000007,12,406.0
240.0,1.0099999999999998,11,305.0
245.0,-0.6900000000000004,20,374.0
250.0,-0.41000000000000014,18,415.0
255.0,-0.35999999999999943,18,451.0
260.0,0.1299999999999999,15,438.0
265.0,1.1399999999999997,7,324.0
270.0,0.9600000000000004,5,228.0
