step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.06,4,6.0
20.0,-0.39,9,45.0
25.0,-0.29,9,74.0
30.0,-0.44999999999999996,9,119.0
35.0,-0.47,10,166.0
40.0,-0.5700000000000001,12,223.0
45.0,-0.6299999999999999,14,286.0
50.0,-0.75,18,361.0
55.0,-0.16000000000000014,15,377.0
60.0,0.5800000000000001,11,319.0
65.0,0.04999999999999982,11,314.0
70.0,-0.43999999999999995,14,358.0
75.0,-0.20999999999999996,11,379.0
80.0,-0.1200000000000001,9,391.0
85.0,-0.5,12,441.0
90.0,-0.8300000000000001,18,524.0
95.0,0.7999999999999998,12,444.0
100.0,1.9200000000000004,10,252.0
105.0,-0.009999999999999787,7,253.0
110.0,-0.31000000000000005,13,284.0
115.0,0.5699999999999998,7,227.0
120.0,0.3400000000000001,9,193.0
125.0,0.3599999999999999,7,157.0
130.0,0.81,5,76.0
135.0,-0.050000000000000044,5,81.0
140.0,-0.3799999999999999,11,119.0
145.0,-0.06000000000000005,7,125.0
150.0,-0.24,9,149.0
155.0,-0.44999999999999996,9,194.0
160.0,-0.6099999999999999,15,255.0
165.0,-0.6200000000000001,13,317.0
170.0,-0.71,15,388.0
175.0,-0.8399999999999999,18,472.0
180.0,-0.9300000000000006,19,565.0
185.0,-1.0599999999999996,22,671.0
190.0,-1.1500000000000004,23,786.0
195.0,-1.2399999999999993,28,910.0
200.0,0.129999999999999,25,897.0
205.0,1.660000000000001,18,731.0
210.0,2.21,14,510.0
215.0,-0.7400000000000002,17,584.0
220.0,-1.0499999999999998,24,689.0
225.0,-1.330000000000001,27,822.0
230.0,-1.5099999999999998,32,973.0
235.0,-0.5700000000000003,29,1030.0
240.0,0.19000000000000128,23,1011.0
245.0,0.7999999999999989,21,931.0
250.0,1.8400000000000007,15,747.0
255.0,1.33,18,614.0
260.0,0.040000000000000036,20,610.0
265.0,-1.0200000000000005,21,712.0
270.0,-1.2000000000000002,26,832.0
275.0,-1.299999999999999,26,962.0
280.0,-1.33,28,1095.0
