step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.06,4,6.0
20.0,-0.29,6,35.0
25.0,-0.32000000000000006,7,67.0
30.0,-0.47999999999999987,10,115.0
35.0,-0.52,11,167.0
40.0,-0.6400000000000001,14,231.0
45.0,-0.7399999999999998,16,305.0
50.0,-0.8300000000000001,18,388.0
55.0,-0.9199999999999999,19,480.0
60.0,-0.04999999999999982,14,485.0
65.0,0.5599999999999996,12,429.0
70.0,-0.28000000000000025,14,457.0
75.0,-0.7999999999999998,18,537.0
80.0,-1.0,20,637.0
85.0,-1.0199999999999996,21,739.0
90.0,-1.29,26,868.0
95.0,-1.33,28,1001.0
100.0,0.27999999999999936,24,973.0
105.0,1.7200000000000006,16,801.0
110.0,0.13999999999999968,12,787.0
115.0,0.7999999999999998,14,707.0
120.0,0.4900000000000002,14,658.0
125.0,0.9900000000000002,16,559.0
130.0,0.07000000000000028,18,552.0
135.0,-0.8500000000000005,18,637.0
140.0,0.03000000000000025,14,634.0
145.0,0.7999999999999998,9,554.0
150.0,0.4299999999999997,10,511.0
155.0,-0.08999999999999986,12,520.0
160.0,2.22,14,298.0
165.0,0.69,16,229.0
170.0,-0.10000000000000009,14,239.0
175.0,0.3600000000000003,10,203.0
180.0,0.1499999999999999,8,188.0
185.0,0.1399999999999999,10,174.0
190.0,-0.040000000000000036,8,178.0
195.0,0.13000000000000012,8,165.0
200.0,-0.3500000000000001,10,200.0
205.0,-0.5299999999999998,12,253.0
210.0,-0.6100000000000003,13,314.0
215.0,-0.6999999999999997,14,384.0
220.0,-0.7400000000000002,17,458.0
225.0,-0.9000000000000004,18,548.0
230.0,-0.96,23,644.0
235.0,-0.9099999999999993,22,735.0
240.0,-1.0600000000000005,24,841.0
245.0,-1.1999999999999993,24,961.0
250.0,-1.2599999999999998,26,1087.0
255.0,-1.3000000000000007,26,1217.0
260.0,-1.4800000000000004,30,1365.0
265.0,-1.3599999999999994,31,1501.0
270.0,-1.6399999999999988,34,1665.0
275.0,0.6899999999999977,28,1596.0
