step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,-0.26,6,26.0
25.0,-0.30000000000000004,6,56.0
30.0,-0.47,10,103.0
35.0,-0.54,12,157.0
40.0,-0.6700000000000002,14,224.0
45.0,-0.7399999999999998,16,298.0
50.0,-0.8599999999999999,18,384.0
55.0,-0.08000000000000007,13,392.0
60.0,0.43999999999999995,10,348.0
65.0,-0.3599999999999999,14,384.0
70.0,-0.7700000000000005,16,461.0
75.0,-0.5999999999999996,14,521.0
80.0,-0.5700000000000003,14,578.0
85.0,-0.7399999999999993,17,652.0
90.0,-0.9500000000000002,20,747.0
95.0,0.6099999999999994,18,686.0
100.0,-0.79,20,765.0
105.0,0.8500000000000005,14,680.0
110.0,2.37,8,443.0
115.0,2.5,6,193.0
120.0,0.43999999999999995,8,149.0
125.0,-0.47,12,196.0
130.0,-0.6800000000000002,14,264.0
135.0,-0.71,15,335.0
140.0,-0.8000000000000003,16,415.0
145.0,-0.8199999999999994,18,497.0
150.0,-0.9000000000000004,18,587.0
155.0,-0.1899999999999995,14,606.0
160.0,-0.25,19,631.0
165.0,0.5699999999999994,17,574.0
170.0,1.9000000000000004,7,384.0
175.0,2.0999999999999996,7,174.0
180.0,0.1100000000000001,5,163.0
185.0,-0.2200000000000002,11,185.0
190.0,-0.33999999999999986,12,219.0
195.0,-0.6200000000000001,14,281.0
200.0,0.20000000000000018,10,261.0
205.0,0.7799999999999998,4,183.0
210.0,0.41000000000000014,6,142.0
215.0,-0.30000000000000004,6,172.0
220.0,-0.3600000000000001,8,208.0
225.0,-0.5,10,258.0
230.0,-0.56,15,314.0
235.0,-0.7999999999999998,16,394.0
240.0,-0.8199999999999998,18,476.0
245.0,-1.0,20,576.0
250.0,-1.04,22,680.0
255.0,-1.1900000000000004,24,799.0
260.0,-1.2400000000000002,26,923.0
265.0,-1.3599999999999994,28,1059.0
270.0,-1.4399999999999995,30,1203.0
275.0,-1.5200000000000014,32,1355.0
280.0,-1.6199999999999992,33,1517.0
