step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.04,3,4.0
20.0,-0.39,9,43.0
25.0,-0.22000000000000003,5,65.0
30.0,-0.30999999999999994,9,96.0
35.0,-0.29000000000000004,8,125.0
40.0,-0.44999999999999996,9,170.0
45.0,-0.49,11,219.0
50.0,-0.5500000000000003,11,274.0
55.0,0.15000000000000036,13,259.0
60.0,-0.6500000000000004,13,324.0
65.0,-0.4099999999999997,13,365.0
70.0,-0.6300000000000003,13,428.0
75.0,-0.71,15,499.0
80.0,-0.79,16,578.0
85.0,-0.7599999999999998,17,654.0
90.0,-1.0300000000000002,23,757.0
95.0,-0.9800000000000004,21,855.0
100.0,-0.9799999999999986,22,953.0
105.0,0.6399999999999988,19,889.0
110.0,2.4800000000000004,10,641.0
115.0,0.28000000000000025,8,613.0
120.0,-0.5600000000000005,14,669.0
125.0,-0.9499999999999993,22,764.0
130.0,0.4299999999999997,19,721.0
135.0,1.62,15,559.0
140.0,0.9500000000000002,10,464.0
145.0,-0.6400000000000006,15,528.0
150.0,0.03000000000000025,18,525.0
155.0,0.5499999999999998,15,470.0
160.0,-0.5499999999999998,20,525.0
165.0,-1.13,24,638.0
170.0,0.29000000000000004,20,609.0
175.0,1.79,13,430.0
180.0,0.44999999999999973,7,385.0
185.0,-0.6400000000000001,16,449.0
190.0,-0.17999999999999972,15,467.0
195.0,0.25,16,442.0
200.0,-1.0700000000000003,24,549.0
205.0,-1.2199999999999998,26,671.0
210.0,-0.020000000000000462,22,673.0
215.0,1.8900000000000006,12,484.0
220.0,-0.5899999999999999,13,543.0
225.0,-0.8300000000000001,19,626.0
230.0,-0.45999999999999996,23,672.0
235.0,-0.40000000000000036,26,712.0
240.0,-1.1800000000000006,28,830.0
245.0,-1.459999999999999,30,976.0
250.0,0.0,26,976.0
255.0,1.3399999999999999,18,842.0
260.0,0.23000000000000043,16,819.0
265.0,-0.9500000000000011,24,914.0
270.0,-1.4900000000000002,33,1063.0
275.0,-1.7599999999999998,36,1239.0
280.0,-1.9399999999999995,40,1433.0
