step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.03,3,3.0
20.0,-0.41000000000000003,10,44.0
25.0,-0.27999999999999997,7,72.0
30.0,-0.3400000000000001,10,106.0
35.0,-0.3899999999999999,10,145.0
40.0,-0.5,10,195.0
45.0,-0.5400000000000003,12,249.0
50.0,-0.6099999999999999,13,310.0
55.0,-0.6200000000000001,14,372.0
60.0,-0.6999999999999997,14,442.0
65.0,0.28000000000000025,11,414.0
70.0,1.4299999999999997,3,271.0
75.0,-0.08000000000000007,4,279.0
80.0,-0.41999999999999993,10,321.0
85.0,-0.6099999999999999,13,382.0
90.0,-0.8400000000000003,18,466.0
95.0,-0.9399999999999995,20,560.0
100.0,-1.0600000000000005,22,666.0
105.0,-1.1399999999999997,24,780.0
110.0,0.25,19,755.0
115.0,1.2999999999999998,12,625.0
120.0,-0.6200000000000001,14,687.0
125.0,-0.9199999999999999,22,779.0
130.0,-0.3099999999999996,21,810.0
135.0,0.07000000000000028,19,803.0
140.0,-0.7900000000000009,20,882.0
145.0,-1.0399999999999991,22,986.0
150.0,-1.1600000000000001,24,1102.0
155.0,-1.200000000000001,24,1222.0
160.0,-1.4299999999999997,30,1365.0
165.0,0.2599999999999998,26,1339.0
170.0,3.16,17,1023.0
175.0,2.58,8,765.0
180.0,1.5300000000000002,12,612.0
185.0,-0.08000000000000007,14,620.0
190.0,0.009999999999999787,18,619.0
195.0,0.54,17,565.0
200.0,1.6300000000000008,12,402.0
205.0,-0.10000000000000053,6,412.0
210.0,-0.3099999999999996,12,443.0
215.0,0.46999999999999975,12,396.0
220.0,1.23,8,273.0
225.0,0.9199999999999999,2,181.0
230.0,0.19999999999999996,10,161.0
235.0,-0.17999999999999994,12,179.0
240.0,0.5,6,129.0
245.0,-0.16999999999999993,10,146.0
250.0,-0.6400000000000001,16,210.0
255.0,-0.33999999999999986,12,244.0
260.0,0.18000000000000016,8,226.0
265.0,-0.15000000000000036,10,241.0
270.0,-0.6499999999999999,14,306.0
275.0,0.5,9,256.0
280.0,1.25,4,131.0
