step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.04,3,4.0
20.0,-0.36000000000000004,8,40.0
25.0,-0.4,8,80.0
30.0,-0.48,10,128.0
35.0,-0.5,10,178.0
40.0,-0.5599999999999998,12,234.0
45.0,-0.6000000000000001,12,294.0
50.0,-0.6600000000000001,15,360.0
55.0,-0.029999999999999805,13,363.0
60.0,0.29000000000000004,12,334.0
65.0,0.5299999999999998,12,281.0
70.0,-0.6600000000000001,14,347.0
75.0,-0.2999999999999998,12,377.0
80.0,-0.48,12,425.0
85.0,0.8300000000000001,10,342.0
90.0,1.5899999999999999,10,183.0
95.0,-0.48,12,231.0
100.0,-0.75,16,306.0
105.0,0.08000000000000007,10,298.0
110.0,0.5299999999999998,10,245.0
115.0,0.8800000000000001,6,157.0
120.0,0.44000000000000017,8,113.0
125.0,-0.040000000000000036,6,117.0
130.0,-0.27,8,144.0
135.0,0.5099999999999999,8,93.0
140.0,-0.45999999999999985,10,139.0
145.0,-0.3700000000000001,10,176.0
150.0,-0.4999999999999998,10,226.0
155.0,0.09999999999999964,8,216.0
160.0,-0.5800000000000001,14,274.0
165.0,0.38000000000000034,8,236.0
170.0,1.19,6,117.0
175.0,0.1299999999999999,6,104.0
180.0,-0.44999999999999996,11,149.0
185.0,-0.21999999999999997,8,171.0
190.0,-0.2999999999999998,10,201.0
195.0,-0.5,10,251.0
200.0,-0.6300000000000003,14,314.0
205.0,0.30000000000000027,9,284.0
210.0,0.8699999999999999,6,197.0
215.0,-0.15999999999999992,8,213.0
220.0,-0.6299999999999999,14,276.0
225.0,-0.10000000000000009,9,286.0
230.0,0.029999999999999805,12,283.0
235.0,-0.75,15,358.0
240.0,-0.7400000000000002,16,432.0
245.0,0.05000000000000071,13,427.0
250.0,0.7299999999999995,8,354.0
255.0,-0.31999999999999984,10,386.0
260.0,-0.73,17,459.0
265.0,-0.16999999999999993,13,476.0
270.0,-0.07000000000000028,17,483.0
275.0,-0.71,15,554.0
280.0,-0.7000000000000002,17,624.0
285.0,0.0600000000000005,13,618.0
