step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.02,1,2.0
20.0,-0.27999999999999997,6,30.0
25.0,-0.10000000000000003,4,40.0
30.0,-0.29999999999999993,6,70.0
35.0,-0.30000000000000004,6,100.0
40.0,-0.3799999999999999,9,138.0
45.0,0.17999999999999994,4,120.0
50.0,0.20999999999999996,6,99.0
55.0,-0.44999999999999996,10,144.0
60.0,-0.09000000000000008,6,153.0
65.0,-0.17999999999999994,8,171.0
70.0,-0.21999999999999997,6,193.0
75.0,-0.30000000000000004,6,223.0
80.0,0.96,6,127.0
85.0,-0.30000000000000004,6,157.0
90.0,-0.55,12,212.0
95.0,-0.6000000000000001,12,272.0
100.0,-0.6799999999999997,14,340.0
105.0,-0.7100000000000004,15,411.0
110.0,-0.7999999999999998,16,491.0
115.0,-0.7999999999999998,16,571.0
120.0,0.5700000000000003,14,514.0
125.0,1.4599999999999995,12,368.0
130.0,0.17000000000000037,12,351.0
135.0,-0.7800000000000002,17,429.0
140.0,-0.9000000000000004,18,519.0
145.0,-0.9299999999999997,19,612.0
150.0,-1.0,20,712.0
155.0,-0.9999999999999991,20,812.0
160.0,-1.1800000000000015,26,930.0
165.0,-1.3899999999999988,29,1069.0
170.0,-1.5099999999999998,31,1220.0
175.0,-1.2600000000000016,30,1346.0
180.0,-1.4299999999999997,30,1489.0
185.0,0.6900000000000013,26,1420.0
190.0,2.6999999999999993,16,1150.0
195.0,0.009999999999999787,17,1149.0
200.0,-0.9900000000000002,22,1248.0
205.0,-1.2799999999999994,27,1376.0
210.0,0.25,30,1351.0
215.0,1.6600000000000001,23,1185.0
220.0,-1.1300000000000008,22,1298.0
225.0,-1.2400000000000002,28,1422.0
230.0,-0.9199999999999999,35,1514.0
235.0,-1.0899999999999999,37,1623.0
240.0,-0.23999999999999844,35,1647.0
245.0,1.0599999999999987,28,1541.0
250.0,0.5700000000000003,22,1484.0
255.0,0.40000000000000036,24,1444.0
260.0,-0.7200000000000006,20,1516.0
265.0,-0.7899999999999991,30,1595.0
