step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.05,5,5.0
20.0,-0.32,7,37.0
25.0,-0.15000000000000002,7,52.0
30.0,-0.41999999999999993,9,94.0
35.0,-0.06000000000000005,5,100.0
40.0,0.09999999999999998,6,90.0
45.0,-0.33999999999999997,7,124.0
50.0,-0.48,11,172.0
55.0,0.32000000000000006,6,140.0
60.0,0.5899999999999999,6,81.0
65.0,-0.05999999999999994,7,87.0
70.0,-0.45000000000000007,9,132.0
75.0,-0.25,8,157.0
80.0,-0.44999999999999996,9,202.0
85.0,-0.48,12,250.0
90.0,-0.7599999999999998,17,326.0
95.0,0.25,12,301.0
100.0,1.3999999999999997,8,161.0
105.0,0.0,6,161.0
110.0,-0.20999999999999996,13,182.0
115.0,0.010000000000000009,8,181.0
120.0,0.30000000000000004,6,151.0
125.0,-0.3500000000000001,10,186.0
130.0,-0.5599999999999998,13,242.0
135.0,-0.3500000000000001,10,277.0
140.0,-0.33000000000000007,10,310.0
145.0,-0.54,12,364.0
150.0,-0.6400000000000001,14,428.0
155.0,-0.7399999999999993,16,502.0
160.0,-0.8800000000000008,19,590.0
165.0,-0.9899999999999993,20,689.0
170.0,-1.1000000000000005,24,799.0
175.0,-1.1999999999999993,24,919.0
180.0,-1.290000000000001,28,1048.0
185.0,0.6500000000000004,22,983.0
190.0,2.29,16,754.0
195.0,-0.7399999999999993,16,828.0
200.0,-1.0700000000000003,24,935.0
205.0,0.23000000000000043,24,912.0
210.0,1.379999999999999,15,774.0
215.0,1.0600000000000005,16,668.0
220.0,0.6200000000000001,14,606.0
225.0,1.6999999999999993,8,436.0
230.0,0.3700000000000001,9,399.0
235.0,-0.25,17,424.0
240.0,-0.96,21,520.0
245.0,-1.0499999999999998,21,625.0
250.0,-1.0999999999999996,23,735.0
255.0,0.23999999999999932,17,711.0
260.0,1.1800000000000006,11,593.0
265.0,0.20999999999999996,8,572.0
270.0,-0.040000000000000036,16,576.0
275.0,-0.03000000000000025,16,579.0
280.0,0.6200000000000001,11,517.0
