step_time,reward,total_stopped,total_wait_time
5.0,0.0,0,0.0
10.0,0.0,0,0.0
15.0,-0.06,4,6.0
20.0,-0.37,8,43.0
25.0,-0.41,9,84.0
30.0,-0.59,12,143.0
35.0,-0.6300000000000001,14,206.0
40.0,-0.75,16,281.0
45.0,-0.8399999999999999,18,365.0
50.0,-0.9600000000000004,22,461.0
55.0,-1.1999999999999993,26,581.0
60.0,-1.3200000000000003,27,713.0
65.0,-1.4300000000000006,30,856.0
70.0,-1.5,30,1006.0
75.0,-0.33000000000000007,28,1039.0
80.0,0.5400000000000009,22,985.0
85.0,0.8200000000000003,21,903.0
90.0,0.9100000000000001,24,812.0
95.0,0.34999999999999964,24,777.0
100.0,1.5199999999999996,18,625.0
105.0,0.6399999999999997,13,561.0
110.0,-0.3899999999999997,19,600.0
115.0,-0.20000000000000018,19,620.0
120.0,0.28000000000000025,17,592.0
125.0,-0.3799999999999999,23,630.0
130.0,0.41000000000000014,17,589.0
135.0,1.63,10,426.0
140.0,0.7999999999999998,5,346.0
145.0,-0.08000000000000007,10,354.0
150.0,0.1200000000000001,13,342.0
155.0,0.69,6,273.0
160.0,-0.4500000000000002,11,318.0
165.0,-0.7999999999999998,18,398.0
170.0,-0.3400000000000003,17,432.0
175.0,-0.019999999999999574,12,434.0
180.0,1.2599999999999998,11,308.0
185.0,-0.3700000000000001,17,345.0
190.0,0.26000000000000023,13,319.0
195.0,0.9499999999999997,9,224.0
200.0,0.040000000000000036,15,220.0
205.0,0.06000000000000005,9,214.0
210.0,0.7200000000000002,6,142.0
215.0,0.04999999999999982,7,137.0
220.0,-0.45999999999999996,11,183.0
225.0,-0.6000000000000001,12,243.0
230.0,-0.6499999999999999,15,308.0
235.0,-0.96,20,404.0
240.0,-1.0300000000000002,22,507.0
245.0,-0.05999999999999961,16,513.0
250.0,0.5,16,463.0
255.0,0.41999999999999993,13,421.0
260.0,1.2199999999999998,7,299.0
265.0,0.54,6,245.0
270.0,-0.5599999999999996,14,301.0
275.0,-0.3700000000000001,13,338.0
280.0,-0.54,15,392.0
